Species,Colony,Date nests counted,Number of nests,Date chicks counted,Number of chicks,Comments
Gentoo penguin,Lower Natural Arch,16-Nov-94,615,18-Feb-95,841,
Gentoo penguin,Johnson,16-Nov-94,675,08-Feb-95,538,
Gentoo penguin,Upper Natural Arch,16-Nov-94,113,18-Feb-95,169,
Gentoo penguin,Square Pond,14-Nov-94,260,,368,No date for chick count
Gentoo penguin,Johnson,16-Nov-93,818,17-Feb-94,60,
Gentoo penguin,Square Pond,16-Nov-93,368,,0,No date for chick count
Gentoo penguin,Upper Mountain Cwm,16-Nov-93,311,,19,No date for chick count
Gentoo penguin,Lower Natural Arch,16-Nov-93,725,,116,No date for chick count
Gentoo penguin,Upper Natural Arch,16-Nov-93,189,,0,No date for chick count
Gentoo penguin,Lower Mountain Cwm,16-Nov-93,385,,27,No date for chick count
Gentoo penguin,Lower Natural Arch,18-Oct-92,972,,1623,No date for chick count
Gentoo penguin,Upper Mountain Cwm,18-Oct-92,293,,414,No date for chick count
Gentoo penguin,Lower Mountain Cwm,18-Oct-92,437,,771,No date for chick count
Gentoo penguin,Square Pond,18-Oct-92,442,,654,No date for chick count
Gentoo penguin,Johnson,18-Oct-92,996,17-Jan-93,1530,
Gentoo penguin,Upper Natural Arch,18-Oct-92,265,,444,No date for chick count
Gentoo penguin,Upper Natural Arch,17-Nov-91,262,,418,No date for chick count
Gentoo penguin,Johnson,17-Nov-91,1078,14-Feb-92,1108,
Gentoo penguin,Square Pond,17-Nov-91,392,13-Feb-92,603,
Gentoo penguin,Lower Mountain Cwm,17-Nov-91,549,,671,No date for chick count
Gentoo penguin,Upper Mountain Cwm,17-Nov-91,373,,353,No date for chick count
Gentoo penguin,Lower Natural Arch,17-Nov-91,952,,1397,No date for chick count
Gentoo penguin,Johnson,26-Nov-90,709,22-Feb-91,43,
Gentoo penguin,Lower Natural Arch,25-Nov-90,687,,,
Gentoo penguin,Upper Mountain Cwm,25-Nov-90,136,,,
Gentoo penguin,Lower Mountain Cwm,25-Nov-90,281,,0,No date for chick count
Gentoo penguin,Square Pond,25-Nov-90,217,22-Feb-91,1,
Gentoo penguin,Upper Natural Arch,25-Nov-90,214,,,
Gentoo penguin,Lower Mountain Cwm,05-Nov-89,697,,581,No date for chick count
Gentoo penguin,Upper Mountain Cwm,05-Nov-89,455,,326,No date for chick count
Gentoo penguin,Lower Natural Arch,05-Nov-89,1296,,935,No date for chick count
Gentoo penguin,Upper Natural Arch,05-Nov-89,401,,314,No date for chick count
Gentoo penguin,Johnson,05-Nov-89,1600,31-Jan-90,957,
Gentoo penguin,Square Pond,22-Oct-89,527,30-Jan-90,427,
Gentoo penguin,Lower Mountain Cwm,08-Nov-88,768,,878,No date for chick count
Gentoo penguin,Upper Mountain Cwm,08-Nov-88,533,,349,No date for chick count
Gentoo penguin,Lower Natural Arch,08-Nov-88,1587,,1643,No date for chick count
Gentoo penguin,Upper Natural Arch,08-Nov-88,412,,389,No date for chick count
Gentoo penguin,Johnson,08-Nov-88,1713,,1164,No date for chick count
Gentoo penguin,Square Pond,02-Nov-88,519,02-Feb-89,637,
Gentoo penguin,Upper Natural Arch,30-Nov-87,202,25-Feb-88,261,
Gentoo penguin,Lower Natural Arch,30-Nov-87,699,25-Feb-88,603,
Gentoo penguin,Upper Mountain Cwm,30-Nov-87,319,25-Feb-88,328,
Gentoo penguin,Lower Mountain Cwm,30-Nov-87,351,25-Feb-88,326,
Gentoo penguin,Johnson,30-Nov-87,1142,26-Feb-88,963,
Gentoo penguin,Square Pond,29-Nov-87,301,19-Feb-88,343,
Gentoo penguin,Johnson,24-Nov-86,1407,05-Feb-87,962,
Gentoo penguin,Lower Natural Arch,23-Nov-86,916,05-Feb-87,755,
Gentoo penguin,Upper Mountain Cwm,23-Nov-86,235,05-Feb-87,250,
Gentoo penguin,Lower Mountain Cwm,23-Nov-86,586,05-Feb-87,464,
Gentoo penguin,Upper Natural Arch,23-Nov-86,339,05-Feb-87,314,
Gentoo penguin,Square Pond,22-Nov-86,296,05-Feb-87,311,
Gentoo penguin,Mountain Cwm,,,10-Feb-86,871,only a pooled chick count for Lower and Upper Mountain Cwm
Gentoo penguin,Johnson,06-Nov-85,1417,09-Feb-86,875,
Gentoo penguin,Upper Natural Arch,04-Nov-85,328,10-Feb-86,127,
Gentoo penguin,Lower Natural Arch,04-Nov-85,896,10-Feb-86,982,
Gentoo penguin,Lower Mountain Cwm,04-Nov-85,535,,,
Gentoo penguin,Upper Mountain Cwm,04-Nov-85,310,,,
Gentoo penguin,Square Pond,04-Nov-85,301,,,
Gentoo penguin,Lower Natural Arch,21-Dec-84,782,31-Jan-85,689,
Gentoo penguin,Upper Natural Arch,21-Dec-84,266,31-Jan-85,236,
Gentoo penguin,Upper Mountain Cwm,27-Nov-84,251,31-Jan-85,282,
Gentoo penguin,Lower Mountain Cwm,27-Nov-84,517,31-Jan-85,340,
Gentoo penguin,Square Pond,20-Nov-84,265,02-Jan-85,235,
Gentoo penguin,Johnson,10-Nov-84,1185,15-Jan-85,636,
Gentoo penguin,Johnson,10-Nov-83,1185,15-Jan-84,636,
Gentoo penguin,Lower Natural Arch,09-Nov-83,427,,,
Gentoo penguin,Upper Natural Arch,09-Nov-83,237,,,
Gentoo penguin,Square Pond,01-Nov-83,225,15-Jan-84,227,
Gentoo penguin,Mountain Cwm,,,21-Feb-83,767,only a pooled chick count for Lower and Upper Mountain Cwm
Gentoo penguin,Upper Mountain Cwm,01-Nov-83,192,,,
Gentoo penguin,Lower Mountain Cwm,01-Nov-83,436,,,
Gentoo penguin,Johnson,08-Dec-82,1700,16-Feb-83,1880,
Gentoo penguin,Square Pond,08-Dec-82,252,16-Feb-83,282,
Gentoo penguin,Lower Mountain Cwm,07-Dec-82,529,,,
Gentoo penguin,Upper Mountain Cwm,07-Dec-82,225,,,
Gentoo penguin,Upper Natural Arch,07-Dec-82,950,21-Feb-83,829,This may be pooled data for Lower and Upper Natural Arch
Gentoo penguin,Lower Mountain Cwm,27-Nov-81,468,,,
Gentoo penguin,Lower Natural Arch,27-Nov-81,694,,,
Gentoo penguin,Upper Natural Arch,27-Nov-81,243,,,
Gentoo penguin,Upper Mountain Cwm,27-Nov-81,199,,,
Gentoo penguin,Johnson,12-Nov-81,1503,,,
Gentoo penguin,Square Pond,12-Nov-81,224,,,
