Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,0.9,0.8,-0.2,-5.2,-3.4,-11.4,-15.2,-3.3,-3.8,0.3,0.3,1.8
2002,2.0,1.9,0.0,-0.4,-5.0,-8.5,-8.2,-9.0,-4.2,-6.3,-1.7,0.3
2003,1.1,1.9,-0.7,-3.5,-6.4,-12.0,-7.6,-3.2,-2.8,-1.1,-1.3,0.2
2004,1.1,0.6,0.2,-3.6,-7.6,-7.7,-7.8,-5.6,-3.7,-0.7,0.7,1.2
2005,1.8,1.9,0.4,-2.3,-4.5,-11.9,-13.5,-5.6,-4.6,-1.0,0.3,0.5
2006,2.1,1.9,2.2,0.3,-0.9,-7.6,-6.0,-16.9,-8.4,-1.6,0.4,1.5
2007,1.6,1.4,-0.9,-1.3,-4.4,-7.4,-14.0,-5.6,-5.8,-2.6,-2.6,1.1
2008,1.9,1.7,-0.4,-2.3,-4.7,-10.0,-7.4,-7.0,-1.0,-0.6,0.6,1.4
2009,2.1,1.8,1.6,-0.8,-2.1,-6.0,-10.5,-11.6,-5.6,-0.9,-0.9,1.3
2010,1.1,1.0,0.1,-2.8,-5.5,-3.1,-6.1,-6.7,-4.6,-0.4,1.8,1.3
2011,1.8,2.7,2.3,-0.9,-2.5,-2.4,-11.1,-13.6,-6.4,-2.5,0.6,1.1
2012,1.1,1.0,-0.6,-3.4,-6.1,-8.2,-9.8,-5.7,-6.7,-3.4,-2.0,-1.1
2013,-0.2,0.3,-0.8,-0.6,-4.3,-3.8,-6.7,-9.7,-7.5,-2.3,-1.1,-0.7
2014,0.1,0.5,-0.3,-2.0,-4.2,-6.8,-5.7,-12.4,-6.8,-3.0,-1.0,-0.3
2015,0.3,0.5,-0.4,-3.3,-6.2,-9.5,-8.6,-5.5,-9.6,-3.5,-0.7,0.4
2016,0.4,0.7,1.0,-2.5,-8.8,-5.4,-8.1,-11.3,-0.9,-0.9,-0.3,-0.1
2017,1.4,1.8,0.9,-3.4,-4.0,-7.2,-6.4,-5.3,-3.6,-2.3,-1.0,0.4
2018,1.1,2.2,1.2,-0.5,-4.2,-4.9,-8.6,-3.9,-2.6,-4.0,0.1,1.0
2019,0.9,0.5,-0.2,-1.1,-7.5,-8.8,-11.2,-9.6,-6.6,-4.8,0.0,-0.1
2020,1.4,1.6,0.7,-1.5,-8.1,-6.8,-14.2,-8.9,-7.4,-4.3,0.3,0.8
2021,1.3,1.5,1.2,0.0,-1.4,-5.9,-8.8,-7.7,-1.5,0.0,0.6,1.9
2022,1.5,1.8,0.8,-0.6,-3.0,-4.8,-5.0,-6.9,-2.0,-,-,-
